settlement_id,payment_id,order_id,amount,fee,gst_on_fee,net_amount,settled_at,status,utr
setl_020,pay_030,ord_030,25000.00,450.00,81.00,24469.00,2024-01-18 01:00:00,processed,
setl_021,pay_031,ord_031,21000.00,378.00,68.04,20553.96,2024-01-18 15:00:00,processed,
setl_021,pay_032,ord_032,11500.00,207.00,37.26,11255.74,2024-01-18 15:00:00,processed,
setl_021,pay_033,ord_033,4300.00,77.40,13.93,4208.67,2024-01-18 15:00:00,processed,
setl_022,pay_034,ord_034,50000.00,900.00,162.00,48938.00,2024-01-19 13:00:00,processed,UTR1Z7QS613
setl_022,pay_035,ord_035,25000.00,450.00,81.00,24469.00,2024-01-19 13:00:00,processed,UTR1Z7QS613
setl_022,pay_036,ord_036,15000.00,270.00,48.60,14681.40,2024-01-19 13:00:00,processed,UTR1Z7QS613
setl_023,pay_037,ord_037,18500.00,333.00,59.94,18107.06,2024-01-20 15:00:00,processed,UTR954RXL6E
setl_024,pay_038,ord_038,22000.00,396.00,71.28,21532.72,2024-01-21 13:00:00,processed,UTRZDNC7765
setl_025,pay_039,ord_039,33000.00,594.00,106.92,32299.08,2024-01-22 11:00:00,processed,UTRD209BPJ2
setl_026,pay_040,ord_040,17650.00,317.70,57.19,17275.11,2024-01-23 09:00:00,processed,UTR3TFC09CL
setl_027,pay_041,ord_041,64000.00,1152.00,207.36,62640.64,2024-01-24 11:00:00,processed,UTRX8KFUES5
setl_028,pay_042,ord_042,47600.00,856.80,154.22,46588.98,2024-01-25 01:00:00,processed,UTRH7S3110U
setl_028,pay_043,ord_043,12400.00,223.20,40.18,12136.62,2024-01-25 01:00:00,processed,UTRH7S3110U
setl_029,pay_044,ord_044,0.00,0.00,0.00,0.00,2024-01-26 03:00:00,processed,UTRXVGHRSSP
setl_030,pay_045,ord_045,-2000.00,-36.00,-6.48,-1957.52,2024-01-26 21:00:00,refunded,UTRH4VJTUAT
setl_030,pay_046,ord_046,-300.00,-5.40,-0.97,-293.63,2024-01-26 21:00:00,refunded,UTRH4VJTUAT
setl_031,pay_047,ord_047,19000.00,342.00,61.56,18596.44,2024-01-27 15:00:00,processed,
setl_031,pay_048,ord_048,6000.00,108.00,19.44,5872.56,2024-01-27 15:00:00,processed,
setl_032,pay_049,ord_049,19000.00,342.00,61.56,18596.44,2024-01-27 18:00:00,processed,
setl_032,pay_050,ord_050,6000.00,108.00,19.44,5872.56,2024-01-27 18:00:00,processed,
setl_033,pay_051,ord_051,19000.00,342.00,61.56,18596.44,2024-01-27 21:00:00,processed,
setl_033,pay_052,ord_052,6000.00,108.00,19.44,5872.56,2024-01-27 21:00:00,processed,
setl_034,pay_053,ord_053,28750.00,517.50,93.15,28139.35,2024-01-30 17:00:00,processed,
